id	area	period	mean	ratio	positive
Conj_Minas_Caixa	Control	0	2.7	1.3496	1
Sta_Monica	Control	0	3.6	1.3536	1
Vitoria	Control	0	5	1.3666	1
Rio_Branco	Control	0	4.2	1.4183	1
Candelaria	Control	0	3.4	1.4594	1
Sta_Sofia	Control	0	2.4	1.4908	1
Mariquinhas	Control	0	1.9	1.6689	1
Cabana_P_Tomas	Control	0	2.8	1.7025	1
Lagoinha_Leblon	Control	0	1.9	1.7826	1
Aarao_Reis	Control	0	12.2	2.2241	1
Maria_Helena	Control	0	1.5	2.334	1
S_Joao_Batista	Control	0	3.1	2.4771	1
Granja_Werneck	Control	0	2.4	2.8892	1
Caicara_Adelaide	Buffer	1	0.946	0.3638	0
Mons_Messias	Buffer	1	1.09	0.3759	0
Carlos_Prates	Buffer	1	3.347	0.3985	0
Alto_Caicaras	Buffer	1	1.263	0.4678	0
Bonfim	Buffer	1	2.389	0.4684	0
Sr_dos_Passos	Buffer	1	1.066	0.6271	0
S_Francisco	Buffer	1	4.092	0.66	0
Cachoeirinha	Buffer	1	6.181	0.7538	0
Pedreira_P_Lopes	Buffer	1	2.103	0.8763	0
Vila_Sumare	Intervention	1	1.158	0.2185	0
Caicaras	Intervention	1	2.816	0.302	0
Nova_Esperanca	Intervention	1	2.706	0.4295	0
Ermelinda	Intervention	1	3.223	0.4539	0
S_Andre	Intervention	1	3.414	0.4552	0
Bom_Jesus	Intervention	1	6.207	0.4702	0
Aparecida	Intervention	1	4.23	0.5222	0
Nova_Cachoeirinha	Intervention	1	2.396	0.6305	0
Aparecida_VII	Intervention	1	2.6414	0.8805	0
S_Bento	Control	1	0.664	0.1953	0
Carmo	Control	1	0.884	0.1964	0
Serra	Control	1	1.153	0.2023	0
Cruzeiro	Control	1	0.797	0.2044	0
Vila_Paris	Control	1	0.616	0.22	0
Comiteco_cluster	Control	1	0.66	0.2357	0
Sion	Control	1	0.587	0.2552	0
Anchieta	Control	1	0.583	0.265	0
Zilah_Sposito	Control	1	1.791	0.2755	0
Funcionarios	Control	1	1.996	0.2772	0
N_S_da_Conceicao	Control	1	2.043	0.3004	0
Luxemburgo	Control	1	0.934	0.3013	0
Jardim_Montanhes	Control	1	2.294	0.3018	0
Boa_Vista	Control	1	4.328	0.3027	0
Floresta	Control	1	2.201	0.3057	0
D_Cabral	Control	1	2.956	0.3079	0
S_Antonio	Control	1	0.834	0.3089	0
S_Lucas	Control	1	4.491	0.3097	0
Jaragua	Control	1	2.543	0.3101	0
Belvedere	Control	1	0.497	0.3106	0
Vila_Barragem_S_Lucia_cluster	Control	1	1.216	0.3118	0
S_Luiz	Control	1	2.443	0.3132	0
S_Pedro	Control	1	1.587	0.3174	0
Havai	Control	1	1.595	0.319	0
Sta_Ines	Control	1	3.623	0.3235	0
Apia_cluster	Control	1	1.934	0.3516	0
Sta_Lucia	Control	1	1.809	0.3547	0
Centro	Control	1	1.75	0.3571	0
Ouro_Preto	Control	1	2.97	0.3578	0
Conj_Paulo_VI	Control	1	5.408	0.363	0
Floramar	Control	1	4.728	0.3637	0
S_Cristovao	Control	1	3.028	0.3648	0
Coracao_Jesus	Control	1	0.915	0.366	0
P_Eustaquio	Control	1	2.606	0.367	0
Beira_Linha	Control	1	0.551	0.3673	0
Vista_do_Sol	Control	1	4.345	0.3682	0
Jardim_Alvorada	Control	1	5.563	0.3684	0
Alipio_Melo	Control	1	4.1	0.3727	0
Marcola	Control	1	1.505	0.3859	0
Conj_Celso_Machado	Control	1	2.284	0.3871	0
Castelo	Control	1	1.792	0.3896	0
Nova_Vista	Control	1	6.198	0.3923	0
Nova_Floresta	Control	1	2.439	0.3934	0
Liberdade	Control	1	2.684	0.4006	0
Sagrada_Familia	Control	1	2.528	0.4013	0
S_Geraldo	Control	1	5.284	0.4065	0
Lourdes	Control	1	0.732	0.4067	0
Alto_Vera_Cruz	Control	1	2.814	0.4078	0
Dona_Clara	Control	1	1.974	0.4113	0
Conj_California	Control	1	1.612	0.4133	0
Barro_Preto	Control	1	2.089	0.4153	0
Barroca	Control	1	2.216	0.4181	0
Betania	Control	1	6.159	0.419	0
California	Control	1	4.675	0.425	0
Nova_Granada	Control	1	2.652	0.4277	0
Joao_Pinheiro	Control	1	3.861	0.429	0
Paqueta	Control	1	2.59	0.4317	0
Barreiro	Control	1	5.016	0.4324	0
Oeste	Control	1	2.383	0.4333	0
S_Marcos	Control	1	5.164	0.4339	0
Grajau	Control	1	1.397	0.4366	0
Mariano_Abreu	Control	1	6.502	0.4393	0
Braunas	Control	1	2.782	0.4416	0
Primeiro_Maio	Control	1	6.542	0.4481	0
Paulo_VI	Control	1	6.687	0.4488	0
Graca	Control	1	2.165	0.451	0
Horto	Control	1	7.441	0.4537	0
Manacas	Control	1	2.73	0.455	0
Vila_J_Alvorada	Control	1	2.276	0.4552	0
Nazare	Control	1	6.453	0.4577	0
Cidade_Nova	Control	1	1.514	0.4588	0
Santana_Cafezal	Control	1	4.095	0.4601	0
Granja_Freitas	Control	1	6.917	0.4611	0
S_Agostinho	Control	1	0.923	0.4615	0
Independencia	Control	1	4.937	0.4658	0
Petropolis	Control	1	6.823	0.4673	0
Colegio_Batista	Control	1	1.087	0.4726	0
Lindeia	Control	1	6.894	0.4788	0
Novo_S_Lucas	Control	1	1.246	0.4792	0
Prado	Control	1	2.157	0.4793	0
Tupi_A	Control	1	5.708	0.4797	0
Bandeirantes	Control	1	2.16	0.48	0
Marajo	Control	1	4.183	0.4808	0
Nova_Suica	Control	1	2.55	0.4811	0
Vila_Cemig	Control	1	5.296	0.4815	0
Cardoso	Control	1	2.94	0.482	0
Sta_Terezinha	Control	1	6.087	0.4831	0
Alto_Barroca	Control	1	1.262	0.4854	0
Sta_Amelia	Control	1	2.593	0.4892	0
Itapoa	Control	1	1.763	0.4897	0
Serrano	Control	1	4.703	0.4951	0
Gutierrez	Control	1	1.244	0.4976	0
Alto_Pinheiros	Control	1	4.8374	0.4987	0
Guarani	Control	1	4.95	0.5	0
N_S_da_Aparecida	Control	1	1.807	0.5019	0
Suzana	Control	1	2.916	0.5028	0
N_S_de_Fatima	Control	1	2.222	0.505	0
Sta_Tereza	Control	1	2.582	0.5063	0
Pilar	Control	1	2.531	0.5165	0
Ventosa	Control	1	1.554	0.518	0
Minas_Brasil	Control	1	1.923	0.5197	0
D_Bosco	Control	1	5.01	0.5219	0
Uniao	Control	1	3.37	0.5266	0
Coracao_Eucaristico	Control	1	2.005	0.5276	0
Casa_Branca	Control	1	3.325	0.5278	0
Trevo	Control	1	4.575	0.532	0
Jardim_America	Control	1	3.9	0.5342	0
Salgado_Filho	Control	1	4.408	0.5442	0
Palmeiras	Control	1	5.531	0.5531	0
Mineirao	Control	1	2.549	0.5541	0
Calafate	Control	1	2.804	0.5575	0
Jaqueline	Control	1	3.512	0.5575	0
Buritis	Control	1	1.008	0.56	0
Milionarios	Control	1	2.644	0.5626	0
Tirol	Control	1	8.117	0.5676	0
Brasil_Industrial	Control	1	3.959	0.5705	0
Inconfidencia	Control	1	4.794	0.5776	0
Vila_Cloris	Control	1	3.137	0.5809	0
Lagoinha	Control	1	2.874	0.5865	0
S_Bernardo	Control	1	5.722	0.5899	0
Teixeira_Dias	Control	1	2.715	0.5902	0
Belmonte	Control	1	11.77	0.5915	0
Mangueiras	Control	1	7.475	0.5933	0
Pongelupe	Control	1	1.071	0.595	0
Sta_Rita	Control	1	4.293	0.5963	0
Canaa	Control	1	1.439	0.5996	0
Novo_Tupi	Control	1	5.174	0.6016	0
Penha	Control	1	1.023	0.6018	0
Novo_Aarao_Reis	Control	1	8.385	0.6032	0
Maria_Goretti	Control	1	6.826	0.6041	0
Flavio_M_Lisboa	Control	1	5.439	0.6043	0
Ipe	Control	1	3.148	0.6054	0
Cenaculo	Control	1	3.524	0.6076	0
Diamante	Control	1	5.744	0.6111	0
Jardim_S_Jose	Control	1	4.478	0.6134	0
Silveira	Control	1	1.353	0.615	0
Cinquentenario	Control	1	1.977	0.6178	0
Piraja	Control	1	6.812	0.6193	0
Sta_Rosa	Control	1	2.922	0.6217	0
Solar_Barreiro	Control	1	2.117	0.6226	0
Ipiranga	Control	1	3.835	0.6287	0
Bonsucesso	Control	1	5.81	0.6385	0
Estoril	Control	1	2.249	0.6426	0
Monte_Azul	Control	1	5.345	0.644	0
Conj_Jatoba	Control	1	5.179	0.6556	0
Sta_Efigenia	Control	1	4.855	0.6561	0
Vale_Jatoba	Control	1	8.31	0.6595	0
Vera_Cruz	Control	1	20.156	0.663	0
S_Tomaz	Control	1	4.01	0.6683	0
Araguaia	Control	1	3.509	0.6748	0
Miramar	Control	1	5.743	0.6756	0
Concordia	Control	1	5.475	0.6759	0
Jatoba	Control	1	7.07	0.6798	0
D_Joaquim	Control	1	2.186	0.6831	0
Esplanada	Control	1	5.745	0.6839	0
Sta_Helena	Control	1	4.173	0.6841	0
Conj_J_Filadelfia	Control	1	9.243	0.6898	0
Indaia	Control	1	1.449	0.69	0
Horto_Florestal	Control	1	3.184	0.6922	0
Pompeia	Control	1	8.67	0.6936	0
Planalto	Control	1	3.54	0.6941	0
Mantiqueira	Control	1	5.81	0.7	0
Sta_Margarida	Control	1	4.561	0.7017	0
Jardim_Guanabara	Control	1	5.599	0.7087	0
Minaslandia	Control	1	3.625	0.7108	0
Fernao_Dias	Control	1	5.696	0.712	0
S_Jorge_cluster	Control	1	2.715	0.7145	0
Acaiaca	Control	1	3.222	0.716	0
Novo_S_Cecilia	Control	1	3.295	0.7163	0
Palmares	Control	1	4.155	0.7164	0
Minas_Caixa	Control	1	4.061	0.7252	0
Fazendinha	Control	1	3.633	0.7266	0
Campo_Alegre	Control	1	7.931	0.7276	0
Sta_Branca	Control	1	5.323	0.7292	0
Olaria	Control	1	3.3	0.7333	0
Eymard	Control	1	6.454	0.7334	0
Castanheira	Control	1	6.241	0.743	0
Heliopolis	Control	1	4.7	0.746	0
Vila_California	Control	1	4.128	0.7505	0
Lajedo	Control	1	4.805	0.7508	0
Providencia	Control	1	4.362	0.7521	0
S_Goncalo	Control	1	1.363	0.7572	0
